size,pin,threads,runtime,usertime,energy
500,false,16,0.04767102,0.73719749,2.05547500
500,false,16,0.04737234,0.73206562,2.06389900
500,false,16,0.04712638,0.73101175,2.06023600
500,false,16,0.04700076,0.73028701,2.06121300
500,false,16,0.04692910,0.72969133,2.03893600
500,false,16,0.04706355,0.72978788,2.06499700
500,false,16,0.04706275,0.73078056,2.06322700
500,false,16,0.04701036,0.72978562,2.06756100
500,false,16,0.04714771,0.73103936,2.05584200
500,false,16,0.04703298,0.73030523,2.06627900
500,false,16,0.04716358,0.73168500,2.06774400
500,false,16,0.04712578,0.73061620,2.06194600
500,false,16,0.04704635,0.73153776,2.05596400
500,false,16,0.04707081,0.73076300,2.06518000
500,false,16,0.04724494,0.73158258,2.06890400
500,false,16,0.04696584,0.73016039,2.05938200
500,false,16,0.04725386,0.73173643,2.06920900
500,false,16,0.04694846,0.73014858,2.06225100
500,false,16,0.04705729,0.73045351,2.06206700
500,false,16,0.04704676,0.73027108,2.06200600
500,false,8,0.07005402,0.54437854,2.45604800
500,false,8,0.06235355,0.48994078,2.34014200
500,false,8,0.05555433,0.43522605,2.25670800
500,false,8,0.05554285,0.43508777,2.22869300
500,false,8,0.05558652,0.43501588,2.22918200
500,false,8,0.05583299,0.43548289,2.26641300
500,false,8,0.05537808,0.43488472,2.22631300
500,false,8,0.05539962,0.43470754,2.21563100
500,false,8,0.05565466,0.43517660,2.20916200
500,false,8,0.05554929,0.43511283,2.23296600
500,false,8,0.05556954,0.43486252,2.22906000
500,false,8,0.05571981,0.43543328,2.21349500
500,false,8,0.05546132,0.43488042,2.25078700
500,false,8,0.05561244,0.43528463,2.22619100
500,false,8,0.05562355,0.43517594,2.22478700
500,false,8,0.05577653,0.43524654,2.26018700
500,false,8,0.05565691,0.43514312,2.22411600
500,false,8,0.05550622,0.43495797,2.24743000
500,false,8,0.05547785,0.43475811,2.21526600
500,false,8,0.05547926,0.43487942,2.21380100
500,false,12,0.05145476,0.59975990,2.12987700
500,false,12,0.05100691,0.59835735,2.11510600
500,false,12,0.05076505,0.59776103,2.14446400
500,false,12,0.05091938,0.59837618,2.11620500
500,false,12,0.05107714,0.59877671,2.14251200
500,false,12,0.05098697,0.59848874,2.14446500
500,false,12,0.05091072,0.59812979,2.11461900
500,false,12,0.05088128,0.59801668,2.14788300
500,false,12,0.05076027,0.59805341,2.11040800
500,false,12,0.05081401,0.59814503,2.14654000
500,false,12,0.05098021,0.59860478,2.10851500
500,false,12,0.05090085,0.59803198,2.13299100
500,false,12,0.05082035,0.59767653,2.13787300
500,false,12,0.05113560,0.59899855,2.12841300
500,false,12,0.05091805,0.59845249,2.14568600
500,false,12,0.05105579,0.59855022,2.14782200
500,false,12,0.05108501,0.59875567,2.14446500
500,false,12,0.05093777,0.59788579,2.11248200
500,false,12,0.05104397,0.59887050,2.13970400
500,false,12,0.05111138,0.59867135,2.14300000
500,false,14,0.04938570,0.66509673,2.10967400
500,false,14,0.04900463,0.66513770,2.10930900
500,false,14,0.04880957,0.66436275,2.08239200
500,false,14,0.04871576,0.66390544,2.10955300
500,false,14,0.04887769,0.66445140,2.08733600
500,false,14,0.04902709,0.66498040,2.10595100
500,false,14,0.04885177,0.66468256,2.08190400
500,false,14,0.04875263,0.66402534,2.10259500
500,false,14,0.04885661,0.66416259,2.08153800
500,false,14,0.04893800,0.66486531,2.10155700
500,false,14,0.04887107,0.66425664,2.07482400
500,false,14,0.04880701,0.66434514,2.10686700
500,false,14,0.04896799,0.66442539,2.08025600
500,false,14,0.04881972,0.66452746,2.09807800
500,false,14,0.04887998,0.66481616,2.08202600
500,false,14,0.04899978,0.66453710,2.10821000
500,false,14,0.04892431,0.66427439,2.10070300
500,false,14,0.04895589,0.66445082,2.07909600
500,false,14,0.04873083,0.66394471,2.10332700
500,false,14,0.04898026,0.66423962,2.07647200
500,false,15,0.04814682,0.70062523,2.09423300
500,false,15,0.04803794,0.70113656,2.04839500
500,false,15,0.04785825,0.70004845,2.07299300
500,false,15,0.04780524,0.70036839,2.05053200
500,false,15,0.04799664,0.70111479,2.07354200
500,false,15,0.04786222,0.70013377,2.09221900
500,false,15,0.04784977,0.70017060,2.07653200
500,false,15,0.04805169,0.70124750,2.08562700
500,false,15,0.04782911,0.70006880,2.04729700
500,false,15,0.04793455,0.70120257,2.08678700
500,false,15,0.04807368,0.70127301,2.04906700
500,false,15,0.04781616,0.70068107,2.05773400
500,false,15,0.04784356,0.70047066,2.08501600
500,false,15,0.04803155,0.70086637,2.08343000
500,false,15,0.04791927,0.70112331,2.09014300
500,false,15,0.04794321,0.70055586,2.05675800
500,false,15,0.04783860,0.70040609,2.09185300
500,false,15,0.04781651,0.70071313,2.04186500
500,false,15,0.04796586,0.70023182,2.08123300
500,false,15,0.04795362,0.69993445,2.08788500
500,false,16,0.04769961,0.73648740,2.05974800
500,false,16,0.04743187,0.73565926,2.04674800
500,false,16,0.04725821,0.73443669,2.09051000
500,false,16,0.04720335,0.73404532,2.06481400
500,false,16,0.04755435,0.73569178,2.07079600
500,false,16,0.04847961,0.73147252,2.16143300
500,false,16,0.04928958,0.73110983,2.20562200
500,false,16,0.04892751,0.73232869,2.19860200
500,false,16,0.04713585,0.73415386,2.08043900
500,false,16,0.04745422,0.73360898,2.07635000
500,false,16,0.04733953,0.73313294,2.08581000
500,false,16,0.04747382,0.73402590,2.07256600
500,false,16,0.04726286,0.73357829,2.07537400
500,false,16,0.04725266,0.73307338,2.08037800
500,false,16,0.04738333,0.73484403,2.07439600
500,false,16,0.04733215,0.73398537,2.06780500
500,false,16,0.04748563,0.73505831,2.06756000
500,false,16,0.04733072,0.73436926,2.06719500
500,false,16,0.04730198,0.73414279,2.06640100
500,false,16,0.04744475,0.73533383,2.07329700
500,false,16,0.04728848,0.73443755,2.07061300
500,false,16,0.04729252,0.73375674,2.06719500
500,false,16,0.04737996,0.73666523,2.08001100
500,false,16,0.04747222,0.73484972,2.07879100
500,false,16,0.04742019,0.73464635,2.06713300
500,false,16,0.04725435,0.73395219,2.05791700
500,false,16,0.04733620,0.73445926,2.06591300
500,false,16,0.04754603,0.73534235,2.06969700
500,false,16,0.04742600,0.73450316,2.08025600
500,false,16,0.04719290,0.73376830,2.06719500
500,false,16,0.04707466,0.73389140,2.06359300
500,false,16,0.04746083,0.73426517,2.06975800
500,false,16,0.04738257,0.73443656,2.06475300
500,false,16,0.04720551,0.73368060,2.09154800
500,false,16,0.04721413,0.73480714,2.07000200
500,false,16,0.04732551,0.73343900,2.06725500
500,false,16,0.04712765,0.73417774,2.06298300
500,false,16,0.04727097,0.73391332,2.08520000
500,false,16,0.04734534,0.73442511,2.06634000
500,false,16,0.04721792,0.73436342,2.07580000
500,false,16,0.04728147,0.73516337,2.07378600
500,false,16,0.04715637,0.73327547,2.08043900
500,false,16,0.04719208,0.73311453,2.07738700
500,false,16,0.04728925,0.73422119,2.06096900
